Collected proceedings	Bjorling, Barbara J. Midwest Regional Center for Services to Deaf-Blind Children (U.S.) Michigan. State Board of Education.	Midwest Regional Center for Services to Deaf-Blind Children,	1981	E G326.20:15-979/980	google	MIU	https://catalog.hathitrust.org/Record/2439931	Limited View
Estimates of the population of Rhode Island counties and metropolitan areas, July 1, 1981 and 1985	United States. Bureau of the Census.	U.S. Dept. of Commerce, Bureau of the Census : For sale by the Supt. of Docs., U.S. G.P.O.,	1987	C 3.186:P-26/85-RI-C	google	UCR	https://catalog.hathitrust.org/Record/101760352	Full View
Stockton Ship Channel bank protection	United States. Army. Corps of Engineers.	The Corps,	1971		google	UCR	https://catalog.hathitrust.org/Record/101759981	Full View
Deer Creek Power Plant	United States. Bureau of Reclamation. Region 4.	U.S. Dept. of the Interior, Bureau of Reclamation, Region 4,	1952		google	UCR	https://catalog.hathitrust.org/Record/101759917	Full View
Environmental water account	California. Department of Water Resources. United States. Bureau of Reclamation.	U.S. Dept. of the Interior, Bureau of Reclamation,	2007		google	UCR	https://catalog.hathitrust.org/Record/101760247	Full View
1987 census of agriculture	United States. Bureau of the Census.	U.S. Dept. of Commerce, Bureau of the Census : For sale by Supt. of Docs., U.S. G.P.O.,	1989	C 3.31/4: 987/v.1/ pt.5	google	UCR	https://catalog.hathitrust.org/Record/101760350	Full View
Coastal structure inspection technologies	Prickett, Terri L. Repair, Evaluation, Maintenance, and Rehabilitation Research Program. U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers.	US Army Corps of Engineers, Waterways Experiment Station,	1998		google	UCR	https://catalog.hathitrust.org/Record/101760257	Full View
Survival experience of patients with malignant neoplasms	National Cancer Institute (U.S.) National Cancer Conference (4th : 1960 : Minneapolis, Minn.)	U. S. Dept. of Health, Education, and Welfare, Public Health Service,	1960		google	SRLF	https://catalog.hathitrust.org/Record/101758902	Full View
Relationship between infection and pathology in the pulp canal and periapical region, or hyaluronidase producing microorganisms and periapical pathology	Smith, Lucile Schultz. United States. Office of Naval Research.	U.S. Govt. Print. Off.,	1962		google	SRLF	https://catalog.hathitrust.org/Record/101758942	Full View
The national health survey 1935-1936	United States. Division of Public Health Methods.		1938		google	SRLF	https://catalog.hathitrust.org/Record/101758976	Full View
The organization of public health in the USSR	Maǐstrakh, Ksenii︡a Vasilʹevna, 1900-		1958		google	SRLF	https://catalog.hathitrust.org/Record/101758889	Full View
Scientific and technical personnel in Federal Government, 1959 and 1960	National Science Foundation (U.S.)	U.S. Govt. Print. Off.,	1962		google	SRLF	https://catalog.hathitrust.org/Record/101758904	Full View
Report [of] Joint Committee Fellowship [on] Standard X-ray Diffraction Powder Patterns to Joint Committee on Chemical Analysis by Powder Diffraction Methods	United States. National Bureau of Standards. Joint Committee on Chemical Analysis by Powder Diffraction Methods. Joint Committee Fellowship on Standard X-ray Diffraction Powder Patterns.		1951		google	SRLF	https://catalog.hathitrust.org/Record/101759030	Full View
Environmental health planning guide	United States. Public Health Service. Division of Environmental Engineering and Food Protection.	The Department : for sale by Supt. of Docs., U.S. G.P.O.,	1962		google	SRLF	https://catalog.hathitrust.org/Record/101759036	Full View
Polymerization of vitreous humor substrate in light and dark adaptation		Air Force Office of Scientific Research,	1958		google	SRLF	https://catalog.hathitrust.org/Record/101758916	Full View
United States treaty developments	United States. Department of State. Office of the Legal Adviser.	United States Government Printing Office],	1947		google	SRLF	https://catalog.hathitrust.org/Record/101759110	Full View
BEHAVE	Andrews, Patricia L. Intermountain Research Station (Ogden, Utah)	U.S. Dept. of Agriculture, Forest Service, Intermountain Research Station,	1989	A 13.88:INT-260	google	OSU	https://catalog.hathitrust.org/Record/101805243	Full View
NASA's long-range goals	United States. Congress. House. Committee on Science, Space, and Technology. Subcommittee on Space Science and Applications.	U.S. G.P.O. : For sale by the Supt. of Docs., Congressional Sales Office, U.S. G.P.O.,	1987	Y 4.Sci 2:100/27	google	UCR	https://catalog.hathitrust.org/Record/101750523	Full View
Comparison of ecological impacts of postulated oil spills at selected Alaskan locations	Isakson, J       S United States. Coast Guard. Office of Research and Development. Mathematical Sciences Northwest, inc.	U.S. Coast Guard ; Available through the National Technical Information Service,	1975		google	UIUC	https://catalog.hathitrust.org/Record/699501	Full View
Report [on] European trade patterns	United States. Congress. House. Select Committee on Foreign Aid. Eaton, Charles Aubrey, 1868-1953. Library of Congress. Legislative Reference Service. United States. Dept. of Commerce. United States. Dept. of Agriculture. United States Tariff Commission.	U.S. Govt. Print. Off.,	1948		google	UIUC	https://catalog.hathitrust.org/Record/101763126	Full View
Library of Congress subject headings	Library of Congress. Subject Cataloging Division.	Cataloging Distribution Service, Library of Congress,	1988		google	UIUC	https://catalog.hathitrust.org/Record/101763133	Full View
Scientific and technical, spatial, and bibliographic data bases and systems of the U.S. Geological Survey, 1983		Distribution Branch, U.S. Geological Survey,	1983		google	OSU	https://catalog.hathitrust.org/Record/101804883	Full View
Taxation of exchanges and distributions pursuant to antitrust decrees	United States. Congress. House. Committee on Ways and Means.	U.S. G.P.O.,	1961	Y 4.W 36:T 19/21	google	OSU	https://catalog.hathitrust.org/Record/101806506	Full View
National accomplishments in pollution control, 1970-1980	United States. Environmental Protection Agency. Office of Planning and Management United States. Environmental Protection Agency. Program Evaluation Division United States. Environmental Protection Agency. Office of Planning and Evaluation	Environmental Protection Agency,	1980	EP 1.2:P 76 1970-80	google	UCSD	https://catalog.hathitrust.org/Record/8341280	Full View
The failure of Third World air power	Kupersmith, Douglas A.	Air University Press,	1993		google	OSU	https://catalog.hathitrust.org/Record/101823338	Full View
Military construction appropriations for 1978	United States. Congress. House. Committee on Appropriations. Subcommittee on Military Construction Appropriations.	U.S. Govt. Print. Off,	1977	Y 4.Ap 6/1:M 59/6/978/pt.	google	MIU	https://catalog.hathitrust.org/Record/2939353	Full View
To prohibit free Federal employee parking	United States. Congress. Senate. Committee on Governmental Affairs.	U.S. Govt. Print. Off,	1979	Y 4.G 74/9:P 21	google	MIU	https://catalog.hathitrust.org/Record/2951115	Full View
Selected staff studies in elementary and secondary school finance	United States. President's Commission on School Finance.	President's Commission on School Finance,	1972	Pr 37.8:Sch6/F49/2	google	MIU	https://catalog.hathitrust.org/Record/6800	Limited View
Laboratory and full-scale sulfur elimination tests on coal from Pratt Bed, Alabama	Perry, R. E.	U.S. Dept. of the Interior, Bureau of Mines,	1958		google	OSU	https://catalog.hathitrust.org/Record/101804661	Full View
Medical aspects of chemical warfare	Tuorinsky, Shirley D. Borden Institute (U.S.) United States. Department of the Army. Office of the Surgeon General.	Office of the Surgeon General, United States Army ; Borden Institute, Walter Reed Army Medical Center,	2008	D 104.35:C26	google	OSU	https://catalog.hathitrust.org/Record/6081038	Full View
The Economics of food and agriculture in Michigan	Michigan. Dept. of Agriculture.	Dept. of Agriculture,	1987	AG 2 E 19	google	MIU	https://catalog.hathitrust.org/Record/1534291	Limited View
United States foreign policy	Massachusetts Institute of Technology. Center for International Studies. United States. Congress. Senate. Committee on Foreign Relations.	U.S. G.P.O.,	1960	Y 4.F 76/2:F 76/12/no. 12	google	OSU	https://catalog.hathitrust.org/Record/101805525	Full View
Let freedom ring!	United States. Office of Education. Jager, Harry A. (Harry Albert), 1887-1954. Hatch, R. W. (Roy Winthrop), 1878- Calhoun, Dorothy, Mrs. Calhoun, Harold Gilmore.	U.S. govt. print. off.,	1938	I 16.3:937/33	google	OSU	https://catalog.hathitrust.org/Record/101805875	Limited View
U. S. S. Cairo	Jones, Virgil Carrington, 1906-1999. Peterson, Harold L. (Harold Leslie), 1922-1978.	U.S. National Park Service; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.],	1971	I 29.2:C12/2	google	MIU	https://catalog.hathitrust.org/Record/408449	Limited View
Quantitative criteria for academic research libraries	Stubbs, K. L. National Center for Education Statistics.	Association of College and Research Libraries, American Library Association,	1984		google	MIU	https://catalog.hathitrust.org/Record/415967	Limited View
Time spent teaching core academic subjects in elementary schools	Perie, Marianne. Bobbitt, Sharon A. Baker, David, 1952 August 24- National Center for Education Statistics.	U.S. Dept. of Education, Office of Educational Research and Improvement : For sale by the U.S. G.P.O., Supt. of Docs.,	1997	ED 1.328/5:SU 1	google	OSU	https://catalog.hathitrust.org/Record/101805857	Full View
Determination of in-situ thermal properties of Stripa granite from temperature measurements in the full-scale heater experiments	Jeffry, J. A. American Geophysical Union. Svensk kärnbränsleförsörjning AB. Lawrence Berkeley Laboratory. Earth Sciences Division.	Lawrence Berkeley Laboratory, Earth Sciences Division,	1979	E 1.28:LBL-8423	google	SRLF	https://catalog.hathitrust.org/Record/101818790	Full View
Authorizing permanent officer and enlisted strength of the United States Navy and the United States Marine Corps	United States. Congress. Senate. Committee on Naval Affairs.	U.S. Govt. Print. Off.,	1946	Y 4.N 22/2:En 5/3/pt.	google	SRLF	https://catalog.hathitrust.org/Record/101818510	Full View
The importance of minerals, 1976	United States. Bureau of Mines.	U.S. Dept. of the Interior, Bureau of Mines,	1976	I 28.2:M 66/10	google	UCR	https://catalog.hathitrust.org/Record/101750576	Full View
Field artillery battalion, Lance	United States. Department of the Army.	Dept. of Defense], Dept. of the Army, Headquarters,	1978	D 101.20:6-42	google	SRLF	https://catalog.hathitrust.org/Record/101797961	Full View
Extension of Emergency Price Control Act	United States. Congress. House. Committee on Banking and Currency.	U.S. Govt. Print. Off., 1944.	1944		google	SRLF	https://catalog.hathitrust.org/Record/101797713	Full View
United States agreements for cooperation in atomic energy	Library of Congress. Congressional Research Service. Rather, Barbara L. Donnelly, Warren H. United States. Congress. Senate. Committee on Government Operations.	U.S. Govt. Print. Off.,	1976	Y 4.G 74/6:At 7	google	SRLF	https://catalog.hathitrust.org/Record/3222210	Full View
Tax Reform Act of 1969, H.R. 13270	United States. Congress. Senate. Committee on Finance.	U.S. G.P.O,	1969		google	SRLF	https://catalog.hathitrust.org/Record/101797881	Full View
Tax Reform Act of 1969, H.R. 13270	United States. Congress. Senate. Committee on Finance.	U.S. G.P.O.,	1969		google	SRLF	https://catalog.hathitrust.org/Record/101797887	Full View
Tax Reform Act of 1969, H.R. 13270	United States. Congress. Senate. Committee on Finance.	U.S. G.P.O,	1969		google	SRLF	https://catalog.hathitrust.org/Record/101797891	Full View
Catalog of infrared observations	Gezari, Daniel Y.	NASA Office of Management, Scientific and Technical Information Program,	1993	NAS 1.61:1294	google	SRLF	https://catalog.hathitrust.org/Record/2790125	Full View
Musicians performance trust funds	United States. Congress. House. Committee on Education and Labor.	U.S. Govt. Print. Off.,	1956		google	SRLF	https://catalog.hathitrust.org/Record/101797718	Full View
Jungle training and operations	United States. Department of the Army.	Dept. of the Army,	1965		google	SRLF	https://catalog.hathitrust.org/Record/101797977	Full View
Proceedings of the Thirtieth Annual Symposium on Sea Turtle Biology and Conservation, 24-30 April 2010	Annual Symposium on Sea Turtle Biology and Conservation (30th : 2010 : Goa, India), sponsor Rees, Alan F., creator Panagopoulou, Aliki, creator Blumenthal, Janice, creator Southeast Fisheries Science Center (U.S.), sponsor, publisher	U.S. Department of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service, Southeast Fisheries Science Center,	2013		google	UCSD	https://catalog.hathitrust.org/Record/101796968	Full View
