Everglade kite (Rosthrhamus sociabilis plumbeus)	Baird, Gary.	U.S. Dept. of the Interior, Office of Library Services,	1970		google	UIUC	https://catalog.hathitrust.org/Record/101850721	Full View
Research--a national resource	Social Science Research Council (U.S.) National Research Council (U.S.) United States. National Resources Planning Board. Science Committee. United States. National Resources Planning Board.	GPO,	1938	Pr 32.302:R 31/2/	google	UIUC	https://catalog.hathitrust.org/Record/101850927	Limited View
Natural resource issues and agricultural policy	United States. Dept. of Agriculture. Natural Resource Economics Division.	U.S. Dept. of Agriculture, Economic Research Service, Natural Resource Economics Division,	1985	A 93.44:AGES 850420	google	UIUC	https://catalog.hathitrust.org/Record/101850930	Full View
Bibliography and index of North American geology, paleontology, petrology, and mineralogy, for 1892 and 1893, [1894-1899, 1901-19	Weeks, Fred Boughton, 1864-	Govt. Print. Off.,	1896		google	UIUC	https://catalog.hathitrust.org/Record/101850574	Full View
A reconnaissance of the Matanuska coal field, Alaska, in 1905	Martin, George Curtis, 1875-1943.	Govt. Print. Off.,	1906		google	UIUC	https://catalog.hathitrust.org/Record/101850575	Full View
Suggested techniques for determining courses of study in vocational education programs	United States. Office of Education. Peterson, Clarence Earl, 1899-		1959		google	UIUC	https://catalog.hathitrust.org/Record/101850630	Full View
Maintenance manual, ordnance	United States. Marine Corps.	n.p.,	1959	D 214.9/3:TM-OR-00511A-10	google	UIUC	https://catalog.hathitrust.org/Record/101851262	Limited View
Development document for interim final effluent limitations guidelines and proposed new source performance standards for the forming, finishing, and specialty steel segments of the iron and steel manufacturing point source category	United States. Environmental Protection Agency. Effluent Guidelines Division.	U.S. Environmental Protection Agency, Office of Water and Hazardous Materials, Effluent Guidelines Division,	1976	EP 1.8/3:St 3/3/v.1-2	google	UIUC	https://catalog.hathitrust.org/Record/3268334	Full View
Federal data banks and constitutional rights	United States. Congress. Senate. Committee on the Judiciary. Subcommittee on Constitutional Rights.	U.S. Govt. Print. Off.,	1974	Y 4.J 89/2:C 76/20/V.1-	google	UIUC	https://catalog.hathitrust.org/Record/101851325	Limited View
Registration and protection of trademarks	United States. Congress. Senate. Committee on the Judiciary. Subcommittee on Patents, Trademarks, and Copyrights.	U.S. G.P.O.,	1961	Y 4.J 89/2:T 67/7/PT.	google	UIUC	https://catalog.hathitrust.org/Record/101851332	Full View
Flood hazard evaluation guidelines for federal executive agencies	Water Resources Council (U.S.). Policy Development Committee.	U.S. Water Resources Council,	1972	Y 3.W 29:8 F 65	google	UIUC	https://catalog.hathitrust.org/Record/101851418	Full View
1967 census of manufactures	United States. Bureau of the Census.	U.S. Dept. of Commerce, Bureau of the Census : For sale by the Supt. of Docs., U.S. G.P.O.,	1971	C 3.24/12:967/7	google	UIUC	https://catalog.hathitrust.org/Record/101851379	Full View
Final report on run-off investigations in central Illinois	Norton, Robert A. Pickels, G. W. Ramser, C. E. University of Illinois at Urbana-Champaign. Engineering Experiment Station. United States. Bureau of Public Roads. Division of Agricultural Engineering.	U.S. Dept. of Agriculture, Bureau of Public Roads,	1931		google	UIUC	https://catalog.hathitrust.org/Record/101851395	Full View
Administrative procedure in government agencies	United States. Attorney General's Committee on Administrative Procedure.	U.S. Govt. Print. Off.,	1940		google	UIUC	https://catalog.hathitrust.org/Record/101851400	Full View
Field operations of the Bureau of Soils, 1913	Whitney, Milton, 1860-1927. United States. Bureau of Soils.	G.P.O.,	1916	A 26.5:1913	google	UIUC	https://catalog.hathitrust.org/Record/101851933	Full View
Field operations of the Bureau of Soils, 1906	Whitney, Milton, 1860-1927. United States. Bureau of Soils.	G.P.O.,	1908		google	UIUC	https://catalog.hathitrust.org/Record/101851934	Full View
Field operations of the Bureau of Soils, 1907	Whitney, Milton, 1860-1927. United States. Bureau of Soils.	G.P.O.,	1909	A 26.5:1907	google	UIUC	https://catalog.hathitrust.org/Record/101851935	Full View
Kansas urban conservation handbook	Kansas. Soil Conservation Service.	The Service,	1990	A 57.6/2:Ur 1/Kansas	google	UIUC	https://catalog.hathitrust.org/Record/101851500	Limited View
Tests of samples from potential riprap sources, Shelbyville Reservoir, Kaskaskia River, Illinois	United States. Army. Corps of Engineers. Lower Mississippi Valley Division. Materials and Concrete Laboratory. Waterways Experiment Station (U.S.) United States. Army. Corps of Engineers. St. Louis District.	Waterways Experiment Station,	1962		google	UIUC	https://catalog.hathitrust.org/Record/101851815	Full View
EPA Office of Compliance Sector Notebook Project	United States. Environmental Protection Agency. Office of Compliance.	Office of Compliance, Office of Enforcement and Compliance Assurance, U.S. Environmental Protection Agency : For sale by the U.S. G.P.O., Supt. of Doc.,	1997	EP 1.2:P 94/43/fossil	google	UIUC	https://catalog.hathitrust.org/Record/101851546	Full View
EPS Office of Compliance Sector Notebook Project	United States. Environmental Protection Agency. Office of Compliance.	Office of Compliance, Office of Enforcement and Compliance Assurance, U.S. Environmental Protection Agency : For sale by the U.S. G.P.O., Supt. of Docs.,	1997	EP 1.2:P 94/41/ship	google	UIUC	https://catalog.hathitrust.org/Record/101851547	Full View
Low-level radioactive-waste burial at the Palos Forest Preserve, Illinois	Olimpio, Julio C.	U.S. G.P.O.,	1984	I 19.13:2226	google	UIUC	https://catalog.hathitrust.org/Record/101851504	Full View
Measurement of currents in the Great Lakes	Palmer, Merv D.	Secretariat, Canadian National Committee for the International Hydrological Decade,	1972	C 55.21/4:3	google	UIUC	https://catalog.hathitrust.org/Record/101851613	Limited View
U.S. IFYGL precipitation data acquisition system	Hansen, Arthur L. International Field Year for the Great Lakes.	Dept. of Commerce, National Oceanic and Atmospheric Administration,	1973	C 55.21/4:4	google	UIUC	https://catalog.hathitrust.org/Record/101851684	Full View
U.S. IFYGL shipboard data acquisition system	Robertson, Andrew, 1936-	Canadian Research Committee for the International Hydrological Decade ; U.S. National Committee for the International Hydrological Decade,	1974	C 55.21/4:5	google	UIUC	https://catalog.hathitrust.org/Record/101851685	Limited View
IFYGL rawinsonde data acquisition system	Callahan, C. J.	National Oceanic and Atmospheric Administration, U.S. Dept. of Commerce,	1976	C 55.21/4:6	google	UIUC	https://catalog.hathitrust.org/Record/101851686	Full View
Workshop on Environmental Mapping of the Great Lakes	Workshop on Environmental Mapping of the Great Lakes (1976 : Windsor, Ont.) Robertson, Andrew, 1936- Rosenberger, D. R. International Joint Commission. Scientific Basis for Water Quality Criteria Task Force.	International Joint Commission, Great Lakes Regional Office,	1976	Y 3.In 8/28:2 W 89	google	UIUC	https://catalog.hathitrust.org/Record/101851688	Limited View
Special report of the Joint Legislative Committee on Agriculture and Livestock Problems on the Oriental fruit fly in the Hawaiian Islands	California. Legislature. Joint Legislative Committee on Agriculture and Livestock Problems	Senate of the State of California,	1949		google	UCSD	https://catalog.hathitrust.org/Record/102112198	Full View
Employment interviewing	Mandell, Milton Michael, 1911-		1956		google	SRLF	https://catalog.hathitrust.org/Record/101845351	Full View
Amending the Fair labor standards act of 1938	United States. Congress. Senate. Committee on Labor and Public Welfare.	U.S. Govt. Print. Off.,	1955		google	SRLF	https://catalog.hathitrust.org/Record/101845358	Full View
Volunteering	National Student Volunteer Program.	National Student Volunteer Program, Volunteers in Service to America, ACTION,	1972	AA 3.8:V 88/2	google	MIU	https://catalog.hathitrust.org/Record/102133692	Full View
Description of water-systems operations in the Arkansas River Basin, Colorado	Abbott, P. O. Geological Survey (U.S.) United States. Bureau of Land Management. Southeastern Colorado Water Conservancy District.	U.S. Dept. of the Interior, Geological Survey ; Open-File Services Section, Western Distribution Branch, U.S. Geological Survey [distributor],	1985	I 19.42/4:85-4092	google	MIU	https://catalog.hathitrust.org/Record/102133693	Full View
An Enumeration of the published synopses, catalogues, and lists of North American insects	United States. Bureau of Entomology.	U.S. Dept. of Agriculture, Division of Entomology,	1888		ia	IUIUC	https://catalog.hathitrust.org/Record/102133561	Full View
Meat packer	United States. Congress. House. Committee on Agriculture.	G.P.O.,	1921		ia	IUIUC	https://catalog.hathitrust.org/Record/102133623	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1981	FEM 1.209:220264	tamu	TXCM	https://catalog.hathitrust.org/Record/102137278	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1979	FEM 1.209:270460	tamu	TXCM	https://catalog.hathitrust.org/Record/102137281	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1979	FEM 1.209:260212	tamu	TXCM	https://catalog.hathitrust.org/Record/102137264	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1979	FEM 1.209:170750	tamu	TXCM	https://catalog.hathitrust.org/Record/102137317	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1979	FEM 1.209:120265	tamu	TXCM	https://catalog.hathitrust.org/Record/102137321	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1979	FEM 1.209:060339	tamu	TXCM	https://catalog.hathitrust.org/Record/102137347	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1979	FEM 1.209:450162	tamu	TXCM	https://catalog.hathitrust.org/Record/102137398	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1979	FEM 1.209:420930	tamu	TXCM	https://catalog.hathitrust.org/Record/102137431	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1980	FEM 1.209:480180	tamu	TXCM	https://catalog.hathitrust.org/Record/102137470	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1979	FEM 1.209:420134	tamu	TXCM	https://catalog.hathitrust.org/Record/102137523	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1979	FEM 1.209:090125	tamu	TXCM	https://catalog.hathitrust.org/Record/102137354	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1979	FEM 1.209:060205	tamu	TXCM	https://catalog.hathitrust.org/Record/102137362	Full View
Flood insurance study	United States. Federal Insurance Administration, issuing body.	Federal Emergency Management Agency, Federal Insurance Administration,	1979	FEM 1.209:450016	tamu	TXCM	https://catalog.hathitrust.org/Record/102137383	Full View
