Compilation of narcotics laws, treaties, and executive documents	United States. Library of Congress. Congressional Research Service. United States. Congress. House. Committee on Foreign Affairs.	U.S. G.P.O. : For sale by the Supt. of Docs., Congressional Sales Office,	1986	Y 4.F 76/1:N 16/11	google	PST	https://catalog.hathitrust.org/Record/7056224	Limited View
Settlement of differences with Colombia	United States. Colombia.	Govt. Print. Off.,	1919		ia	IUIUC	https://catalog.hathitrust.org/Record/102183651	Full View
The Cartoon book		Bureau of Publicity, War Loan Organization, Treasury Dept.,	1918		ia	IUIUC	https://catalog.hathitrust.org/Record/102183246	Full View
Progress of teacher training	Johnston, Charles Hughes.	Government Printing Office,	1914		ia	IUIUC	https://catalog.hathitrust.org/Record/102183589	Full View
Report of the Secretary of the Navy, communicating, in compliance with a resolution of the Senate, a report of the engineer-in-chief of the Navy, on the comparative value of anthracite & bituminous coals	United States. Navy Dept. Stuart, Charles Beebe, 1814-1881.		1852		ia	IUIUC	https://catalog.hathitrust.org/Record/102183625	Full View
Business side of holding out income tax on coupons	Patterson, Stuart H.	Guaranty Trust Company of New York,	1913		ia	IUIUC	https://catalog.hathitrust.org/Record/102183240	Full View
Price list of mobile artillery material common to two or more calibers or classes of mobile guns, such as tools, fuze setters, pack equipment targets, harness, range-finding material, etc. Jan. 21, 1915. Rev. June 26, 1917	United States. Army. Ordnance Dept.	Govt. print. off.,	1917		ia	IUIUC	https://catalog.hathitrust.org/Record/102183581	Full View
Report on the state of trade between the United States and British possessions in North America	Larned, J. N. (Josephus Nelson), 1836-1913.	Govt. print. off.,	1871		ia	IUIUC	https://catalog.hathitrust.org/Record/102183633	Full View
The spirit of Houston	United States. National Commission on the Observance of International Women's Year.	National Commission on the Observance of International Women's Year : for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1978		google	MIU	https://catalog.hathitrust.org/Record/215405	Limited View
Export transportation and intergovernmental public policy. Final report	Shaw, Peter L. Brandt, L. Leonard, Gerald. Matzer, J. Segelhorst, E. Lefson, E. Tilley, J.		1985		lit-dlps-dc	MIU	https://catalog.hathitrust.org/Record/5502456	Full View
Navy can improve management of shipyard labor resources through better work measurement practices. Report to the Secretary of the Navy			1984		lit-dlps-dc	MIU	https://catalog.hathitrust.org/Record/5498107	Full View
Labor force and productivity measurements	National Council on Employment Policy.	The Council,	1982		google	COO	https://catalog.hathitrust.org/Record/9631254	Limited View
Facts about 50 years of Federal meat inspection	United States. Agricultural Research Service. Meat Inspection Division.	U. S. Govt. Print. Off.]	1956		google	COO	https://catalog.hathitrust.org/Record/9228447	Full View
Employment, hours, and earnings	United States. Bureau of Labor Statistics.		1949		google	COO	https://catalog.hathitrust.org/Record/9631869	Full View
Ichthyoplankton from the RV Dolphin survey of continental shelf waters between Martha's Vineyard, Massachusetts and Cape Lookout, North Carolina, 1965-66	Berrien, Peter L.	Sandy Hook Laboratory, Northeast Fisheries Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration, Dept. of Commerce,	1978		google	COO	https://catalog.hathitrust.org/Record/8337364	Full View
Investigation of communist infiltration into labor unions which serve the industries of the United States, interim report	United States. Congress. House. Committee on Education and Labor.	U. S. Govt. Print. Off.,	1948		google	COO	https://catalog.hathitrust.org/Record/9871717	Limited View
An industrial waste guide to the milk processing industry	Dairy Industry Committee.	U. S. Govt. Print. Off.,	1953		google	COO	https://catalog.hathitrust.org/Record/9059663	Full View
Glossary of German aeronautical codes, models, project numbers, abbreviations, etc	United States. Air Force. Air Matériel Command.	Headquarters Air Matériel Command,	1947		google	COO	https://catalog.hathitrust.org/Record/9228827	Full View
Factbook	New England River Basins Commission.	The Commission,	1976		google	COO	https://catalog.hathitrust.org/Record/9212984	Full View
Reciprocal trade	United States. Haiti.	U.S. Govt. print. off.,	1935		google	COO	https://catalog.hathitrust.org/Record/9061114	Full View
Handbook of official grain standards of the United States	United States. Dept. of Agriculture. Production and Marketing Administration.	U.S. Govt. Print. Off.,	1951		google	COO	https://catalog.hathitrust.org/Record/9077018	Full View
Civilian spending and saving, 1941 and 1942	United States. Office of Price Administration.		1943		google	COO	https://catalog.hathitrust.org/Record/9061162	Limited View
Commercial truck crops: revised estimates of acreage, production and value, 1928-1941, under new seasonal groupings	United States. Bureau of Agricultural Economics.	Bureau of Agricultural Economics, United States Department of Agriculture,	1943		google	COO	https://catalog.hathitrust.org/Record/9077432	Full View
Sixteenth census of the United States: 1940	United States. Bureau of the Census. 16th census, 1940.	U.S. Govt. print. off.,	1943		google	COO	https://catalog.hathitrust.org/Record/1306809	Full View
A survey of the transient and homeless population in 12 cities, September 1935 and September 1936	United States. Work Projects Administration.		1937		google	COO	https://catalog.hathitrust.org/Record/9061968	Limited View
Selected list of publications containing wool prices ....	United States. Bureau of Agricultural Economics. Library.		1930		google	COO	https://catalog.hathitrust.org/Record/9128573	Limited View
Rural water supply research agenda	United States. Office of Water Research and Technology. Technology and Information Transfer Division. Conset Corporation.	Conset Corporation,	1979		google	COO	https://catalog.hathitrust.org/Record/9057060	Full View
Working with the LM-3	United States. Office of Labor-Management and Welfare-Pension Reports. Division of Technical Assistance.	The Division,	1966		google	COO	https://catalog.hathitrust.org/Record/10697265	Full View
Labor Advisory Committee on the North American Free Trade Agreement	United States. Labor Advisory Committee.	The Committee,	1992		google	COO	https://catalog.hathitrust.org/Record/9636059	Full View
16th census of the United States: 1940	United States. Bureau of the Census.	U. S. Govt. print. off.,	1941		google	COO	https://catalog.hathitrust.org/Record/9130138	Limited View
1989 Federal manual for identifying and delineating jurisdictional wetlands	Federal Interagency Committee for Wetland Delineation. United States. Soil Conservation Service. U.S. Fish and Wildlife Service. United States. Environmental Protection Agency. United States. Army. Corps of Engineers.	U.S. Army Corps of Engineers, U.S. Fish and Wildlife Service, U.S. Environmental Protection Agency, U.S.D.A. Soil           Conservation Service : For sale by the Supt. of Docs., U.S. G.P.O.,	1991		google	COO	https://catalog.hathitrust.org/Record/9137002	Full View
Community health centers	United States. General Accounting Office.	The Office,	2000	GA 1.13:HEHS-00-39	google	COO	https://catalog.hathitrust.org/Record/9147578	Full View
List of land-grant colleges in the United States, January 1946	United States. Office of Experiment Stations.		1946		google	COO	https://catalog.hathitrust.org/Record/9071587	Limited View
Child care	United States. General Accounting Office.	The Office,	1999	GA 1.13:HEHS-00-7	google	COO	https://catalog.hathitrust.org/Record/9180224	Full View
Productivity, the foundation of growth	United States. Congress. Joint Economic Committee.	U.S. G.P.O.],	1980		google	COO	https://catalog.hathitrust.org/Record/10361016	Full View
Sixteenth census of the United States: 1940	United States. Bureau of the Census. Weasmer, Donald K., 1904- Duffey, Hugh Sisson, 1889- Reid, James O. Guernsey, John, 1888-	U.S. Govt. print. off.,	1941		google	COO	https://catalog.hathitrust.org/Record/9076732	Limited View
National Research Initiative Competitive Grants Program	United States. Cooperative State Research, Education, and Extension Service. Competitive Research Grants and Awards Management. National Research Initiative Competitive Grants Program (United States. Cooperative State Research, Education, and Extension Service)	U.S. Dept. of Agriculture, Cooperative State Research, Education, and Extension Service, Competitive Research Grants and Awards Management,	1999		google	COO	https://catalog.hathitrust.org/Record/9139974	Full View
DOD's productivity-enhancing incentive funds program	Bryant, Stephen. United States. Office of Personnel Management. Program Development Division.	U.S. Office of Personnel Management, Workforce Effectiveness and Development Group, Office of Productivity Programs, Program Development Division,	1980	PM 1.37:D 36	google	COO	https://catalog.hathitrust.org/Record/10362392	Full View
Report upon statistics of grape culture and wine production in the United States for 1880	McMurtrie, William, 1851-1913.	Govt. print. off.,	1881		google	HVD	https://catalog.hathitrust.org/Record/100363996	Full View
The distinguishing characters of the seeds of Quack-grass and of certain wheat-grasses	Hillman, F. H.	Government Printing Office,	1911		google	HVD	https://catalog.hathitrust.org/Record/100430326	Full View
Experiments on the toxic action of certain gases on insects, seeds, and fungi	Neifert, Ira Edward, 1891- Garrison, Gwynn Lloyd, 1890-	U.S. Dept. of Agriculture,	1920		google	HVD	https://catalog.hathitrust.org/Record/100445685	Full View
Disposition of notices and other papers affecting the interests of the treasury department in bankruptcy, insolvency, and other simular proceedings	United States. Department of the Treasury.	G.P.O.,	1922		google	HVD	https://catalog.hathitrust.org/Record/100470680	Full View
Regulations relating to the enforcement of contracts for miscellaneous supplies: March 13, 1917	United States. Department of the Treasury.	U.S. G.P.O.,	1917		google	HVD	https://catalog.hathitrust.org/Record/100470699	Full View
Carpooling in the metropolitan Milwaukee area	Schmitt, Robert P. Milwaukee County (Wis.) United States. Federal Highway Administration. Southeastern Wisconsin Regional Planning Commission. Wisconsin. University--Milwaukee. Dept. of Urban Affairs. University of Wisconsin--Milwaukee. Dept. of Geography.	Southeastern Wisconsin Regional Planning Commission,	1977		google	NWU	https://catalog.hathitrust.org/Record/10640349	Full View
Making future transportation decisions	United States. General Accounting Office.	GAO,	1978	GA 1.13:CED-78-74	google	NWU	https://catalog.hathitrust.org/Record/10618483	Full View
The port of Lake Charles, La.	United States. Maritime Commission. Division of Research. United States. Board of Engineers for Rivers and Harbors.	For sale by the Supt. of Docs., U.S. G.P.O.,	1938		google	NWU	https://catalog.hathitrust.org/Record/11245287	Full View
Hazardous materials transportation : laws, regulations, and policy	Rothberg, Paul F. Library of Congress. Science Policy Research Division.	Congressional Research Service, the Library of Congress,	1986		google	NWU	https://catalog.hathitrust.org/Record/10619009	Full View
Elderly and handicapped transportation	United States. Dept. of Transportation. Office of Intergovernmental Affairs. United States. Urban Mass Transportation Administration. Office of Service and Methods Demonstrations. Public Technology, inc.	U.S. Dept. of Transportation, Urban Mass Transportation Administration, Office of the Secretary,	1979		google	NWU	https://catalog.hathitrust.org/Record/10629624	Full View
The ports of Wilmington and Morehead City, NC	Water Resources Support Center (U.S.)	U.S. G.P.O. ; For sale by The Center,	1987		google	NWU	https://catalog.hathitrust.org/Record/11245233	Full View
US-302 relocation, Carroll	United States. Federal Highway Administration.		1973	FHWA-NH-730874	google	NWU	https://catalog.hathitrust.org/Record/100915109	Full View
SR-52/60 connector, S-2481 to Newport Road, Gilmer County / Fannin County	United States. Federal Highway Administration.		1972	FHWA-GA-721029	google	NWU	https://catalog.hathitrust.org/Record/100914323	Full View
Anchorage-Fairbanks Hwy Denali Rest Area, Matanuska-Susitna Borough	United States. Federal Highway Administration.		1974	FHWA-AK-740595	google	NWU	https://catalog.hathitrust.org/Record/100915365	Full View
Kent County airport runway extension	United States. Federal Aviation Administration.		1971	FAA-MI-716721	google	NWU	https://catalog.hathitrust.org/Record/100919380	Full View
Columbia/Adair County airport, new airport, Columbia	United States. Federal Aviation Administration.		1973	FAA-KY-730278	google	NWU	https://catalog.hathitrust.org/Record/100919531	Full View
Palmdale International Airport (proposed), Palmdale	United States. Federal Aviation Administration.		1970	FAA-CA-701713	google	NWU	https://catalog.hathitrust.org/Record/100937725	Full View
SR-5 and US-1 bridge replacement from Cow Key Channel in Key West to Knights Key and from Key Colony Beach to Tavernier, Monroe County	United States. Federal Highway Administration.		1975	FHWA-FL-750753	google	NWU	https://catalog.hathitrust.org/Record/100972125	Full View
SR-828, Normandy Drive improvements from Rue Versailles to SR-A1A, Miami Beach, Dade County	United States. Federal Highway Administration.		1977	FHWA-FL-770785	google	NWU	https://catalog.hathitrust.org/Record/100972137	Full View
US-1 (SR-5) widening, Abaco Road to CR-905 (Card Sound Road), Monroe County / Dade County	United States. Federal Highway Administration.		1992	FHWA-FL-920142	google	NWU	https://catalog.hathitrust.org/Record/100980229	Full View
I-29, SH-13 near Mooreton to South Dakota state line, Richland County	United States. Federal Highway Administration.		1972	FHWA-ND-721372	google	NWU	https://catalog.hathitrust.org/Record/100914402	Full View
US-220 grade crossing elimination, Bedford and Frederick Streets and C&O-B&O Railroad, Cumberland	United States. Federal Highway Administration.		1972	FHWA-MD-721373	google	NWU	https://catalog.hathitrust.org/Record/100914403	Full View
SR-1, FAS S-175 bridge construction over Whitewater River, Franklin County	United States. Federal Highway Administration.		1972	FHWA-IN-724480	google	NWU	https://catalog.hathitrust.org/Record/100914682	Full View
US-45 relocation, Shannon to Verona, Lee County	United States. Federal Highway Administration.		1973	FHWA-MS-730858	google	NWU	https://catalog.hathitrust.org/Record/100972915	Full View
US-1 improvements, SR-1853 at Lakeview to SR-1180 south of Sanford, Lee and Moore counties	United States. Federal Highway Administration.		1995	FHWA-NC-950575	google	NWU	https://catalog.hathitrust.org/Record/100983423	Full View
US-30 relocation, Van Wert/Putnam/Allen counties	United States. Federal Highway Administration.		1972	FHWA-OH-720119	google	NWU	https://catalog.hathitrust.org/Record/100914139	Full View
SR-41 relocation, Meigs Township to north of CR-134 intersection, Adams County	United States. Federal Highway Administration.		1972	FHWA-OH-721470	google	NWU	https://catalog.hathitrust.org/Record/100914428	Full View
SR-56 relocation, CR-6 to CR-9, Athens County	United States. Federal Highway Administration.		1971	FHWA-OH-719994	google	NWU	https://catalog.hathitrust.org/Record/100972507	Full View
SR-16/76 relocation, upgrading, township road 285 to CR-6, Coshocton County	United States. Federal Highway Administration.		1971	FHWA-OH-719992	google	NWU	https://catalog.hathitrust.org/Record/100972525	Full View
USH-68, on Cedar Bog near Urbana, Champaign County, environmental impact analysis	United States. Federal Highway Administration.		1971	FHWA-OH-719993	google	NWU	https://catalog.hathitrust.org/Record/100976555	Full View
Route 17 proposed dual laning, Caroline/Spotsylvania counties	United States. Federal Highway Administration.		1970	FHWA-VA-700155	google	NWU	https://catalog.hathitrust.org/Record/100980659	Full View
Market Ave North widening, 30th St to 55th St, Canton	United States. Federal Highway Administration.		1972	FHWA-OH-724801	google	NWU	https://catalog.hathitrust.org/Record/100914745	Full View
I-90, top of Easton Hill to Easton, Kittitas County	United States. Federal Highway Administration.		1971	FHWA-WA-717151	google	NWU	https://catalog.hathitrust.org/Record/100932613	Full View
CR-60 relocation near Lowell, Washington County	United States. Federal Highway Administration.		1972	FHWA-OH-721930	google	NWU	https://catalog.hathitrust.org/Record/100932665	Full View
I-96BL improvement, Cloverland Drive to Mt. Hope Road, Ingham County	United States. Federal Highway Administration.		1986	FHWA-MI-860249	google	NWU	https://catalog.hathitrust.org/Record/100974951	Full View
SH-352 construction, Parry Ave to Hatcher St, Dallas County	United States. Federal Highway Administration.		1971	FHWA-TX-717006	google	NWU	https://catalog.hathitrust.org/Record/100976542	Full View
US-81, US-287 improvements, Montague County line to south of Alvord, Wise County	United States. Federal Highway Administration.		1970	FHWA-TX-704380	google	NWU	https://catalog.hathitrust.org/Record/100980670	Full View
Crutcho Creek local flood protection project, Oklahoma City	United States. Army. Corps of Engineers.		1971	COE-OK-710513	google	NWU	https://catalog.hathitrust.org/Record/100920071	Full View
Long Branch Lake, East Fork, Little Chariton River dam construction, Macon County	United States. Army. Corps of Engineers.		1972	COE-MO-721721	google	NWU	https://catalog.hathitrust.org/Record/100920188	Full View
Construction of the sand dunes to Ochoa power line project,  Environmental assessment (EA) and finding of no significant impact (Finding of no significant impact (FONSI)).	United States. Department of Energy.		1995	DOE-NM-959997	google	NWU	https://catalog.hathitrust.org/Record/100972528	Full View
Milwaukee waterway fill and container terminal facility, Port of Tacoma	United States. Army. Corps of Engineers.		1984	COE-WA-840417	google	NWU	https://catalog.hathitrust.org/Record/100975218	Full View
Halstead, Kansas, Local flood protection project, supplemental environmental information report	United States. Army. Corps of Engineers.		1987	COE-OK-810198	google	NWU	https://catalog.hathitrust.org/Record/100977287	Full View
