title	author	publisher	pub_date	sudoc	digagent	contributor	ht_link	availability
Medical certification of medicolegal cases	United States. National Committee on Vital and Health Statistics.		1960		google	UIUC	https://catalog.hathitrust.org/Record/10465215	Limited View
The distributional ecology and zoogeographical relationships of Stomatopod Crustacea from Pacific Costa Rica	Reaka-Kudla, Marjorie L. Manning, Raymond B. (Raymond Brendan), 1934-2000. Smithsonian Institution.	Smithsonian Institution Press,	1980	SI 1.41:7	google	OSU	https://catalog.hathitrust.org/Record/102257398	Limited View
Stability design of grass-lined open channels	Temple, D. M.	U.S. Dept. of Agriculture, Agricultural Research Service ; For sale by the Supt. of Docs., U.S. G.P.O.,	1987	1987-723-180/62583	google	OSU	https://catalog.hathitrust.org/Record/102257409	Full View
Composition of foods	Hoke, I. Margaret. Lauderdale, Jeanne L. Anderson, Barbara A. (Barbara Ann), 1944- United States. Department of Agriculture. Nutrition Monitoring Division.	USDA, Human Nutrition Information Service,	1987		google	OSU	https://catalog.hathitrust.org/Record/102257432	Full View
Judging and scoring milk and cheese	United States. Agricultural Marketing Service. Dairy Division. Standardization Branch. Fenton, F. E. (Floyd Elmo), 1906-	The Branch,	1975		google	OSU	https://catalog.hathitrust.org/Record/102257436	Full View
Sugarbeet insects	Peay, Walter E.	U.S. Dept. of Agriculture,	1968		google	OSU	https://catalog.hathitrust.org/Record/102257437	Full View
Wild ducks on farmland in the South	Neely, William W., 1915- Davison, Verne E. (Verne Elbert), 1904-	U.S. Dept. of Agriculture,	1966		google	OSU	https://catalog.hathitrust.org/Record/102257438	Full View
Growing peaches east of the Rocky Mountains	United States. Entomology Research Division. United States. Agricultural Research Service. Crops Research Division.	U.S. Dept. of Agriculture,	1964		google	OSU	https://catalog.hathitrust.org/Record/102257439	Full View
Growing ginseng	Williams, Llewelyn, 1901-1980.	U.S. Dept. of Agriculture,	1964		google	OSU	https://catalog.hathitrust.org/Record/102257440	Full View
Growing ginseng	Williams, Llewelyn, 1901-1980.	U.S. Dept. of Agriculture,	1967		google	OSU	https://catalog.hathitrust.org/Record/102257441	Full View
Protecting log cabins, rustic work, and unseasoned wood from injurious insects in eastern United States	St. George, R. A. (Raymond Alexander), 1894-	U.S. Dept. of Agriculture,	1967		google	OSU	https://catalog.hathitrust.org/Record/102257443	Full View
Infectious anemia (swamp fever) of horses, mules, and donkeys	United States. Agricultural Research Service. Animal Disease and Parasite Research Division.	U.S. Dept. of Agriculture,	1969		google	OSU	https://catalog.hathitrust.org/Record/102257444	Full View
Growing pumpkins and squashes	United States. Agricultural Research Service. Crops Research Division. United States. Entomology Research Division.	U.S. Dept. of Agriculture; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1968		google	OSU	https://catalog.hathitrust.org/Record/102257445	Limited View
Making land produce useful wildlife	Anderson, Wallace Lowell, 1913- Summers, Felix.	U.S. Dept. of Agriculture,	1965		google	OSU	https://catalog.hathitrust.org/Record/102257446	Full View
Establishing and managing young apple orchards	United States. Agricultural Research Service. Crops Research Division.	For sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1967		google	OSU	https://catalog.hathitrust.org/Record/102257449	Limited View
The plantation South, 1934-1937	Holley, William C. Woofter, T. J., Jr. (Thomas Jackson), 1893-1972. Winston, Ellen, 1903-1984.	U.S. Govt. Print. Off.,	1940		google	OSU	https://catalog.hathitrust.org/Record/102257515	Full View
