University of Michigan	263145
University of Illinois at Urbana–Champaign	144587
University of Minnesota	136771
University of California, Northern Regional Library Facility	83152
The Ohio State University	82385
University of California, Riverside	75394
Pennsylvania State University	67607
Northwestern University	58450
Technical Report Archive & Image Library	56039
Purdue University	47192
Cornell University	38237
University of California, San Diego	37353
University of Virginia	33582
University of California, Berkeley	28516
Harvard University	23968
University of California, Southern Regional Library Facility	23091
New York Public Library	13476
Michigan State University	13332
Columbia University	13140
University of California, Santa Cruz	10740
University of California, Los Angeles	10391
State University System of Florida	9427
Indiana University	9186
University of Wisconsin, Madison	7963
University of Texas at Austin	5333
Princeton University	4652
University of Chicago	4155
Texas A&M University	4000
Library of Congress	3920
University of Illinois at Urbana-Champaign	3724
University of California, Davis	2762
University of Iowa	1631
University of Massachusetts Amherst	743
University of Alberta	444
University of California, Irvine	356
University of Missouri, Columbia	342
University of North Carolina at Chapel Hill	216
Yale University	185
The Getty Research Institute	180
Duke University	72
University of Connecticut	63
Boston College	59
University of Washington	47
North Carolina State University	39
Emory University	36
Tufts University	21
	13
University of California, San Francisco	6
University of Maryland, College Park	1
Universidad Complutense de Madrid	1
University of Delaware	1
McGill University	1
