title	author	publisher	pub_date	sudoc	digagent	contributor	catalog_uri	availability
Managing human resources in local government	Urban Institute. National Commission on Productivity.		1973		google	UIUC	https://catalog.hathitrust.org/Record/102565470	Limited View
Japan's farm commodity market	Abbott, Geraldine W. (Geraldine Waldo), 1917-	U.S. Dept. of Agriculture, Economic Research Service	1970	A 93.21/2:289	google	UIUC	https://catalog.hathitrust.org/Record/102565733	Limited View
Guangzhou street guide		Central Intelligence Agency],	1986	PrEx 3.10/4: G93/5	google	UCSD	https://catalog.hathitrust.org/Record/102565836	Full View
Summarized data of gold production	Ridgway, Robert Henderson.	U.S. Govt. Print. Off.,	1929	I 28.38:6	google	UIUC	https://catalog.hathitrust.org/Record/102566337	Full View
The job of the radio announcer	United States Employment Service. Industrial Services Division.	U.S. G.P.O.,	1946		google	UIUC	https://catalog.hathitrust.org/Record/102566383	Full View
Sailing directions (planning guide) for the Mediterranean	United States. Defense Mapping Agency. Hydrographic/Topographic Center.	Defense Mapping Agency, Hydrographic/Topographic Center : For sale by authorized sale agents of the Defense Mapping Agency Combat Support Center,	1991	D 5.317:130/991	google	UIUC	https://catalog.hathitrust.org/Record/102566455	Full View
Sailing directions (planning guide) for the North Sea and Baltic Sea	United States. Defense Mapping Agency. Hydrographic Center.	Defense Mapping Agency, Hydrographic Center,	1974		google	UIUC	https://catalog.hathitrust.org/Record/102566457	Full View
UARS	Goddard Space Flight Center.	[National Aeronautics Space Administration, Goddard Space Flight Center],	1998		google	UIUC	https://catalog.hathitrust.org/Record/102567069	Full View
Cumulated numerical list of available unclassified U. S. Atomic Energy Commission reports	U.S. Atomic Energy Commission.	Technical Information Service Extension,	1956		google	GWLA	https://catalog.hathitrust.org/Record/1178557	Full View
Radiation control in the State of New York	New York (State) Atomic Energy Coordinating Council. Committee on Licensing.		1963		google	GWLA	https://catalog.hathitrust.org/Record/1560647	Limited View
Field dependency - independency; a review of the literature	Long, G. M.		1972		google	GWLA	https://catalog.hathitrust.org/Record/5458182	Limited View
Bibliography on aerosols	Strehlow, Richard A. U.S. Atomic Energy Commission.	Technical Information Service,	1951		google	COO	https://catalog.hathitrust.org/Record/9172142	Full View
Plasma oscillations	Jackson, John David, 1925-2016.	Physical Research Laboratory, Space Technology Laboratories, Inc.,	1958		google	COO	https://catalog.hathitrust.org/Record/9211639	Full View
Superconductive properties of vacuum deposited indium films	Schmidlin, Frederick William, 1925-	Physical Research Laboratory, Space Technology Laboratories, Inc.	1959		google	COO	https://catalog.hathitrust.org/Record/9211661	Full View
Plasma turbulence	Kovásznay, Leslie S. G.	Physical Research Laboratory, Space Technology Laboratories, Inc.,	1960		google	COO	https://catalog.hathitrust.org/Record/9213160	Full View
Formulation of the theory of turbulence in an incompressible fluid	Wyld, Henry William, 1928-	Physics Dept., University of Illinois; Space Technology Laboratories,	1961		google	COO	https://catalog.hathitrust.org/Record/9213266	Full View
Current induced switching of superconductive thin films	Schmidlin, Frederick William, 1925-	Physical Research Laboratory, Space Technology Laboratories]	1960		google	COO	https://catalog.hathitrust.org/Record/9217895	Full View
Thermal agitation and turbulence	Betchov, R.	Physical Research Laboratory, Space Technology Laboratories,	1960		google	COO	https://catalog.hathitrust.org/Record/9219033	Full View
Aeroballistic evaluation and computer stability analysis of the U. S. Navy 20-millimeter general purpose projectile	Regan, Frank J. Schermerhorn, Virginia L		1971		google	COO	https://catalog.hathitrust.org/Record/9228332	Limited View
Elementary experiments in radiation biology	Casarett, Alison P. Davis, Thomas P.	University of Rochester, Atomic Energy Project,	1963		google	COO	https://catalog.hathitrust.org/Record/9228908	Full View
Electrical circuits for calutrons	Wakerling, Raymond Kornelious, 1914- Guthrie, Andrew, 1915- ed.	University of California Radiation Laboratory, University Microfilms,	1949		google	COO	https://catalog.hathitrust.org/Record/9229558	Limited View
Reactor kinetics: a bibliography	Bloomfield, M.	Atomics International; available from the Office of Technical Services, Washington,	1959		google	COO	https://catalog.hathitrust.org/Record/9233286	Full View
Uranium and its compounds	Croxton, Fred Emory, 1899-	Carbide and Carbon Chemical Co., K-25 Plant,	1955		google	COO	https://catalog.hathitrust.org/Record/9233293	Limited View
Food-chain relationships of iodine-131 following two nuclear tests in Nevada	Turner, Frederick B. Martin, William.	University of California, Laboratory of Nuclear Medicine and Radiation Biology [For sale by the Office of Technical Services]	1963		google	COO	https://catalog.hathitrust.org/Record/9371123	Full View
Project Ketch	Columbia Gas System, inc.		1967		google	PST	https://catalog.hathitrust.org/Record/9431023	Limited View
Proceedings of the Conference on the Interrelated Role of Universities and Federal Agencies in Nuclear Education, held in Gatlinburg, Tennessee, August 26-27, 1963	Conference on the Interrelated Role of Universities and Federal Agencies in Nuclear Education, (1963 : Gatlinburg, Tenn.)	USAEC Division of Technical Information Extension,	1964		google	GWLA	https://catalog.hathitrust.org/Record/9552175	Limited View
Metal-matrix composites	Defense Metals Information Center (U.S.), issuing body Metallurgical Society of AIME. Composite Materials Committee Metallurgical Society of AIME. Structural Materials Committee	Defense Metals Information Center, Battelle Memorial Institute,	1969	D 301.45/47-2:243	google	GWLA	https://catalog.hathitrust.org/Record/9615470	Full View
The hypersonic fully viscous shocklayer problem	Davis, Randall Thomas, 1936-	Sandia Laboratories]	1968		google	COO	https://catalog.hathitrust.org/Record/9868713	Limited View
Determination of the performance parameters of a fluttering vane-type fuze-arming device using a controlled-geometry wind tunnel	Baltakis, Frank P. Dawson, Paul J. Senechal, Gary D.	Naval Ordnance Laboratory	1970		google	COO	https://catalog.hathitrust.org/Record/9881700	Limited View
Survey of city planning and related laws in 1932	Chase, Lester Gilbert, 1881- United States. National Bureau of Standards. Division of Building and Housing.	Bureau of Standards,	1933		google	UMN	https://catalog.hathitrust.org/Record/10365959	Limited View
